,Name,text
78,Apple Knocker, pour the vodka apple cider lemon juice and strawberry liqueur into a cocktail shaker halffilled with ice cubes shake well strain into a chilled cocktail glass and serve     vodka   tbsp apple soda   tsp lemon juice   tsp strawberry liqueur
79,Beautiful Fungus, pour concentrated ribena syrup into the test tube first then layer the vodka on top of it top it off with the cognac the cognac should stay on top but some of it will mix with the vodka if youre not careful shoot     brandy    blackcurrant vodka    blackcurrant cordial
80,Beatle Juice, fill a hurricane glass with ice in shaker with scoop of ice combine all alcohol and fill with sour mix shake strain into glass and add grenadine for color and top with up garnish with a lime and cherry     gin    melon liqueur   white rum    gold tequila    vodka    lemonade    grenadine syrup    sours
81,Beautiful Mila, shake ingredients in a cocktail shaker with ice strain into a highball glass filled with ice cubes and garnish with a lime wedge     orange liqueur     dark rum     grapefruit juice    orange juice   lime
82,Bedroom Farce, pour the rum bourbon whiskey galliano and hot chocolate into an irish coffee cup or glass spoon the cream carefully so that it floats on top of the drink garnish with grated chocolate shavings and serve     dark rum    bourbon whiskey   tsp herbal liqueur    hot chocolate    whipped cream   tsp chocolate
83,Bee Stinger, shake ingredients with ice strain into a cocktail glass and serve     blackberry brandy    white creme de menthe
84,Bee-Stung Lips, add ingredients to mixing glass filled with ice shake and strain into chilled cocktail glass     white rum   tsp tsp double cream   tsp honey
85,Beef Curtains, stir ingredients together in a champagne tulip glass and serve     vodka    gin    pink grapefruit juice   grenadine syrup
86,Beef On Rye, shake the gin whisky and syrup in a shaker strain into an oldfashioned glass halffilled with broken ice add the lemon     gin    whiskey   passionfruit puree    lemon soda
87,Beergarita, mix all ingredients except the lager in a blender with ice pour into a large pilsnerpint glass then add the corona which should be chilled over the top garnish with a slice of lime and serve     gold tequila    triple sec    lime juice    larger beer
88,Behind Enemy Razz, stir ingredients in a cocktail shaker with ice strain into glass     raspberry rum   tsp tsp plum brandy
89,Arkansas Razorback, add all together in a mixing tin with ice shake to a froth and strain off the ice into the glass the ice is just to get it cold and the shaking is to make it froth dont worry if it doesnt stay frothy     rum    vodka    almond liqueur    coffee liqueur
90,Beijing Mix, combine ingredients in a highball glass arizona green tea works fairly well but the best is a chinese grand called tong yi that makes bottled sweet green tea     scotch whiskey    tea
91,Bella, shake all ingredients together with ice and pour into a hurricane glass top with cherry     spiced rum    coconut rum    apple schnapps   splashs grenadine syrup    apple juice
92,Bellamy Scotch Sour, pour the scotch whisky orange juice lemon juice honey and angostura bitters into a cocktail shaker shake well pour into an oldfashioned glass garnish with ginger and serve     scotch whiskey    orange juice    lemon juice   tsp honey   dashs bitters   pinchs ginger
93,Belle of Ellis Island, pour the vermouth brandy cointreau sugar and bitters into a cocktail shaker halffilled with ice cubes shake and strain into a cocktail glass garnish with a lemon twist and serve     dry vermouth    brandy   tsp orange liqueur   tsp superfine sugar   dashs orange bitters
94,Bellini 3,bellini  combine ingredients together in a blender with ice blend well pour into a champagne flute and serve     white wine   peachs
95,Bellini Cocktail,bellini cocktail mix the peach nectar lemon juice and schnapps in a chilled glass add half a cup or more of crushed ice stir and add the champagne serves  may be prepared in a blender to produce a fren drink     peach puree   tsp lemon juice    peach schnapps    champagne   cups crushed ice
96,Belmont Stakes, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well and strain into a cocktail glass garnish with a lime wedge and a slice of orange and serve     vodka    gold rum   strawberry liqueur    lime juice   tsp grenadine syrup
97,Beltane Punch, pour the wine into a punch bowl add sugar and woodruff available through many winemaking suppliers and stir lightly cover the mixture and let it rest in the refrigerator overnight so the wine is infused with the herbs essence strain out the    bottles white wine   handfull woodruff   cupss strawberries   tsp sugar
98,Benedictine Cocktail, shake the benedictine and bitters wet the rim of a cocktail glass with lemon juice and frost with caster sugar strain into the glas garnish with a maraschino cherry if desired     benedictine herbal liqueur   dashs bitters   drops lemon juice   pinchs sugar
99,Benelyn, pour the tequila southern comfort and schnapps  peach schnapps into a tall glass add hoopers hooch and red bull top with cranberry juice to taste and serve     tequila    peach liqueur    peach schnapps    energy soda  cranberry juice
100,Arizona Buttkicker, pour both ingredients over crushed ice in a cocktail glass stir and serve     strawberry wine    grapefruit soda
101,Bengal, in a shaker halffilled with ice cubes combine all of the ingredients shake well strain into a cocktail glass     brandy    maraschino liqueur   triple sec    apple juice   dashs bitters
102,Bent Nail, shake ingredients in a cocktail shaker with ice strain into a cocktail glass     scotch whiskey   tsp tsp cherry brandy    whiskey
103,Bengal Tiger, shake ingredients in a cocktail shaker with ice strain into a cocktail glass     brandy    maraschino liqueur   triple sec    apple juice
104,Bergenline, put all ingredients in a shaker shake with ice strain into a chilled cocktail glass garnish with a lime wedge     hazelnut liqueur    triple sec    sweet vermouth
105,Bermuda Bloom, put ice into a cocktail shaker dash triple sec over the ice add in gin lemon juice oj and brandy pour in sugar syrup shake well and strain into a cold cocktail glass     apricot brandy    gin   dashs triple sec    lemon juice    orange juice   ice cubes   sugar syrup
106,Bentley, stir apple brandy and dubonnet with cracked ice and strain into a cocktail glass add the twist of lemon peel and serve     apple brandy    dry vermouth   twists lemon
107,Bermuda Triangle, add ingredients over ice stir gently and garnish with a fresh orange slice     rum    cranberry juice    orange juice
108,Berry Cool, muddle fruit in glass with ice add alcohol and shake with more ice strain into glass filled with crushed ice top with cranberry juice to garnish slice a strawberry in half and make a slice halfway so it sits on the rim and spear a sliver of or     raspberry liqueur    orange liqueur    creme de mure   splashs cranberry juice   grapes   strawberries   slices oranges
109,Berryjito, throw mint sugar and strawberry cut up into the glass and muddle then fill glass with ice add the captain morgans and shake to mix it all up great alternative to a regular mojito     spiced rum   mint   strawberries   tsp sugar
110,Bertiebreezer, pour the apfelkorn and bacardi breezer over  ice cubes in a whiskey sour glass stir and serve     apple liqueur    bacardi breezer lime
111,American Leroy, mix in a blender and pour into a highball glass     coffee liqueur    vodka    irish cream    creme de cacao
112,Arizona Sunset,  add ice to a tallstem cocktail glass slowly pour cream de noyaux over ice until some settles on the bottom  add tequila triple sec lime juice and orange juice into a shaker with ice and shake thoroughly  pour over ice  garnish     white tequila    triple sec   lime juice  creme de almond    orange juice
113,Between The Cheeks, pour the bacardi dark rum brandy triple sec and roses lime juice into a highball glass almost filled with ice cubes garnish with two maraschino cherries and serve     dark rum    brandy    triple sec    lime juice
114,Bible Belt, mix all ingredients pour over ice and serve     peach liqueur    triple sec   lime    sours
115,Biekert, pour the captain morgan rum over crushed ice in a highball glass add the orange juice stir and serve     spiced rum    orange juice
116,Big Bear, stir ingredients together in a highball glass and serve     peach liqueur    lemonade
117,Big Bird, pour banana schnapps into a highball glass filled with ice cubes fill the rest of the way with pineapple and orange juice and serve     banana schnapps    apple juice    orange juice
118,Big Blue Sky, blend ingredients in a blender until smooth serve in a red wine glass     blue curacao liqueur    white rum   coconut cream    apple juice   cups ice
119,Big Hicky, pour all ingredients into a cocktail shaker halffilled with ice cubes and shake well strain into a cocktail glass garnish with a lime wedge and serve     vodka    raspberry vodka   triple sec    lime juice    grenadine syrup    cranberry juice
120,Big Hug, pour the irish cream into an irish coffee cup or glass filled  with hot chocolate add creme de cacao add whipped cream and garnish with shaved chocolate on top     irish cream    creme de cacao   cupss hot chocolate    whipped cream
121,Big Skyy, put slices of lemon and lime into glass pour in rum and then vodka add a little crushed ice next fill the cup up with sprite stir     white rum    vodka   cans lemonade   slices lemon   slices lime
122,Big Titty Ho on a Motorcycle, add about  ice cubes to an old fashioned glass add the amaretto tequila and whiskey sour mix then pepsi garnish with an umbrella and serve     tequila    almond liqueur    whisky sour mix
123,Arkansas Avalanche, pour goldschlager sprite and grenadine into a cocktail shaker halffilled with ice cubes shake well strain into a highball glass and serve     cinnamon schnapps    lemonade    grenadine syrup
124,Bikini Bottom, blend all ingredients except for the orange slice with a handful of crushed ice and pour into glass place orange slice on the rim     mango rum    pineapple rum    orange juice    papaya juice
125,Bighorn, stir all ingredients together in an oldfashioned glass on the rocks and serve     mango rum    energy soda    cranberry juice    lemonade
126,Bikini Wax, shake all ingredients except lemon twist in a cocktail shaker with ice strain into a cocktail glass and garnish with the lemon twist     white rum    vodka    lemon juice    milk   twists lemon   tsp sugar
127,Bill Clinton Politically Erect, mix liquids over rocks garnish with  hazelnuts     bourbon whiskey    lemonade   hazelnuts
128,Bill Leaves Town, pour whiskey vermouth and grenadine into a mixing glass halffilled with ice cubes and stir well strain into a cocktail glass garnish with a maraschino cherry and serve     blended whiskey    sweet vermouth   tsp grenadine syrup
129,Billy Hamilton, pour the brandy orange curacao and creme de cacao into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     brandy    orange curacao liqueur   creme de cacao   egg
130,Bimbo Juice, fill a jug with ice add vodka and then the rest of the ingredients shake very well until all jug is cold to the touch take a drink and pass it around    bottles vodka   qt lemonade   qt citrus soda   lemon   cups sugar   ice cubes
131,Billionaire, combine everything but the sour mix into a cocktail shaker shake and strain into a highball glass filled with ice fill up with sour mix     triple sec    whiskey   dashs grenadine syrup    sours
132,Billy Bishop, fill an oldfashioned glass  full with ice pour in the english gin and cointreau put a splash of rye whiskey on top finish by filling the glass with orange juice     gin    orange liqueur   splashs rye whiskey    orange juice
133,Biohazard, add all ingredients to a cocktail shaker halffilled with ice cubes shake well strain into a margarita glass and serve     op rum    tangerine juice    apricot nectar    honey liqueur
134,Armageddon, pour amaretto schnapps  peach schnapps and raspberry sour puss into a highball glass filled with ice cubes add equal amounts of orange and cranberry juice top with soda stir and serve     almond liqueur    peach schnapps   raspberry liqueur    orange juice    cranberry juice    lemonade
135,Birch Beam, pour jim beam whiskey into a collins glass filled with ice cubes fill with birch beer stir lightly and serve     bourbon whiskey    birch beer
136,Biscayne Cocktail, pour the gin light rum forbidden fruit liqueur and lime juice into a cocktail shaker halffilled with ice cubes shake well and strain into a chilled cocktail glass garnish with a slice of lime and serve     gin    white rum    forbidden fruit liqueur    lime juice
137,Birth Control, pour both ingredients into an oldfashioned or rocks glass swill and serve     rye whiskey    gin
138,Biscay, add ingredients to an oldfashioned glass halffilled with broken ice garnish with a cherry and an orange twist     white rum    tropicalfruit liqueur   orange liqueur   tsp lime juice    lemonade
139,Bitch Ass, add rum and vodka to a hurricane glass full of ice fill with desired amount of pineapple and orange juice topping with a splash of cranberry squeeze a lime wedge over it and then drop it in     coconut rum    vanilla vodka   splashs cranberry juice    orange juice    apple juice
140,Bitch Slap 3, combine ingredients together in a cocktail shaker halffilled with ice cubes shake well strain over ice in an oldfashioned glass and serve     herbal liqueur    welch
141,Bitch-On-Wheels, in a mixing glass halffilled with ice cubes combine all of the ingredients stir well strain into a cocktail glass     gin    dry vermouth   white creme de menthe   tsp licorice liqueur
142,Bitter Bison, pour vodka vermouth and lemon juice into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     vodka    vodka   sweet vermouth   tsp lemon juice
143,Bitch on Wheels 2, coat a martini glass with a few drops of green creme de menthe put six ice cubes into a cocktail shaker and add the liquor shake to chill and strain into the martini glass     gin    absinthe herbal liqueur   drops green creme de menthe
144,Bittersweet Jack, stir ingredients in a mixing glass with ice strain into a cocktail glass garnish with an orange peel     bourbon whiskey    apricot liqueur    orange curacao liqueur   dashs bitters
145,Arnie`s Cocktail, pour ingredients over cracked ice in an oldfashioned glass stir and serve     vodka    mango juice    apple juice
146,Bittersweet Symphony, add all ingredients except campari to a cocktail shaker halffilled with ice cubes shake well and pour into a cocktail glass add the campari to create a multicolored cocktail and serve    ml gin   ml triple sec   ml coconut cream   ml banana liqueur   ml bitters   ml orange juice
147,Bizonkadonk Martini, combine the absolut mandrin vodka tanqueray gin tuaca citrus liqueur grand marnier orange liqueur and orange juice in a cocktail shaker halffilled with ice cubes strain into a cocktail glass float red bull energy drink on top garnish with fla     mandarin vodka    gin   mango rum    orange liqueur    orange juice    energy soda
148,Bjorns Moscow Mule, pour lemon juice and vodka into a collins glass mix together fill with ginger ale and serve    cl vodka   cl lemon juice  ginger ale
149,Black Baltimore, in a shaker halffilled with ice cubes combine all of the ingredients shake well strain into a cocktail glass     brandy    black sambuca   egg
150,Black Cat, pour both ingredients into an oldfashioned glass and serve     tequila    almond liqueur
151,Black Bottom, pour the brandy cointreau blackberry brandy gin lemon juice and orange juice into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     brandy    orange liqueur    blackberry brandy   dashs dry gin    lemon juice    orange juice
152,Black Butterfly, shake brandy and cranberry juice with ice in a mixer pour into hurricane glass add up garnish with cranberries and serve     blackberry brandy    lemonade    cranberry juice
153,Black Cherry Margarita, blend everything serve in margarita glass with a lime wheel or shake with half the ice for a cocktail     cherry schnapps    gold tequila   triple sec    orange juice    sours    crushed ice
154,Black Christmas, mix black sambuca into a glass filled with  ounces of eggnog stir and serve     black sambuca    eggnog
155,Black Cherry Coke, pour  shots of black haus into glass and add cola     blackberry schnapps    cola
156,Arizona Jim, pour jim beam whiskey over ice in a collins glass fill with arizona iced tea and serve     bourbon whiskey    iced tea
157,Black Cherry Kool-Aid, equal parts amaretto melon liquer and vodka splash southern comfort fill with cranberry shake and serve     vodka    melon liqueur   splashs peach liqueur    almond liqueur    cranberry juice
158,Black Feather, stir with ice strain into a chilled cocktail glass garnish with an orange twist    parts brandy   parts dry vermouth   parts orange liqueur   dashs bitters
159,Black Fruit Tree, add all ingredients to glass with ice and stir     blue curacao liqueur    grenadine syrup    almond liqueur    triple sec    blackberry brandy
160,Black Hawk, stir blended whiskey and sloe gin with ice and strain into a cocktail glass top with the cherry and serve      blended whiskey     gin   cherry
161,Blue Skies, simply follow the order above pouring directly into the glass garnish with a slice of orange on the glass    ml orange liqueur  crushed ice   ml blue curacao liqueur  fill with lemonade
162,Blue Solute, mix ingredients in a highball glass stir and serve     vodka    blueberry schnapps    energy soda
163,Blue Squid, pour the rum blue curacao creme de cacao and cream into a cocktail shaker halffilled with cracked ice shake well strain into an oldfashioned glass  filled with ice cubes and serve     white rum    blue curacao liqueur   tbsp white creme de cacao   tsp cream
164,Blue Velvet, combine the black raspberry liqueur melon liqueur and vanilla ice cream in a blender add a cup of crushed ice and blend until smooth pour into a parfait glass and top with whipped cream add blue curacao on top garnish with a maraschino cherry     black raspberry liqueur    melon liqueur    ice cream   dashs blue curacao liqueur    whipped cream
165,Blue Whip, shake vodka curacao and orange juice with ice cubes and top off with sprite or up garnish with fanned slices of orange floating on top and serve with a straw     orange vodka     blue curacao liqueur   glasss orange juice   glasss lemonade
166,Blue-Balled Frog, combine up melon liquer and sour mix over ice add splash of vodka finish off by slowly pouring the curacao over the drink for a colorful mixing effect    splashs orange vodka    melon liqueur    blue curacao liqueur    lemonade    sours
167,Armour Cocktail, pour the sherry and vermouth into a mixing glass halffilled with ice cubes stir well strain into a cocktail glass garnish with a lemon twist and serve      sherry    sweet vermouth
168,Blue Wave, add liquors to a cocktail shaker halffilled with ice shake and strain into an oldfashioned glass top with up stir briefly and serve     apple schnapps    blue curacao liqueur    lemonade
169,Bluebeard, stir and strain into a brandy snifter glass     vodka    brandy   blueberry syrup
170,Bluebeard 2, pour vodka and brandy into a mixing glass halffilled with ice cubes stir well strain into a cocktail glass and serve     vodka    blueberry brandy
171,Blueberry Martini, pour the gin chambord raspberry liqueur and blue curacao into a chilled cocktail glass stir and serve     gin   splashs raspberry liqueur   splashs blue curacao liqueur
172,Blueberry Rumba, shake liquors syrup and juice in a shaker and strain into an icefilled highball glass add the lemonade     white rum    dark rum    triple sec    blue curacao liqueur    blueberry syrup    apple juice    lemonade
173,Bluebird, in a mixing glass halffilled with crushed ice combine the gin triple sec curacao and bitters stir well strain into a cocktail glass and garnish with the lemon twist and the cherry    cherry   twists lemon    gin    triple sec    blue curacao liqueur   dashs bitters
