cocktail_id,name,sugar,calories
687,"Blaze of Glory Cocktail",9g,188kcal
721,CAIPIRINHA,9g,196kcal
1961,"District 12 - Decadence Cocktail",9g,78kcal
2698,"Haymitchs Hooch cocktail",9g,210kcal
2949,"The Jedi Cocktail",9g,174kcal
3026,"Katniss's Cherry Kiss Cocktail",9g,107kcal
3856,"Peat Smash Cocktail",9g,161kcal
4002,"Remembering Rue Cocktail",9g,105kcal
4022,"Squirtle Pokemon Cocktail",9g,177kcal
4256,"Stormtrooper Cocktail",9g,335kcal
4271,"Tsunami Cocktail",9g,145kcal
4394,"The Alfred Cocktail",9g,42kcal
4464,"Viniq Cosmo Cocktail",9g,444kcal
4524,"Whiskey Sour Cocktail",9g,197kcal
4531,"Winter is coming cocktail",9g,96kcal
4605,"Absinthe Minded Martini",9g,290kcal
4608,"Angels Delight",9g,439kcal
0,"American Beauty Cocktail",10g,185kcal
702,"Black Mamba Cocktail",10g,167kcal
1719,"Citron Gimlet Cocktail",10g,181kcal
2306,"Gin Gin Mule",10g,148kcal
2531,"Glow Rita Cocktail",10g,382kcal
2708,"HARD GINGER ALE",10g,106kcal
2710,"Seamstress Irish Coffee",10g,260kcal
3028,"Kingslayer Cocktail",10g,182kcal
3034,"Long Island Iced Tea",10g,356kcal
3193,"Midori Splice Cocktail",10g,239kcal
3447,"Mimosa Cocktail",10g,159kcal
4006,"Ruby Shimmer Cocktail",10g,339kcal
4010,"Spicy Tajin Margarita",10g,147kcal
4258,"Spice On Ice Cocktail",10g,166kcal
4419,"(PINEAPPLE) UPSIDE DOWN",10g,237kcal
4429,"Vaporeon Pokemon Cocktail",10g,269kcal
4463,"Volcano Cocktail",10g,181kcal
4574,"7 on 7",10g,244kcal
710,"Black Opal Drink Cocktail",11g,196kcal
719,"Caribbean Old Fashioned",11g,118kcal
1715,"Chocolate Soldier Cocktail",11g,263kcal
1725,"Chewbacca Cocktail",11g,814kcal
2285,"Frosty Night Cocktail",11g,229kcal
2290,"French 75 Cocktail",11g,204kcal
2518,"Gin Cobbler",11g,167kcal
2528,"Grateful Dead cocktail",11g,361kcal
2709,"Mason Jar Iced Irish Coffee",11g,210kcal
2816,"Irish Car Bomb",11g,189kcal
4009,"South Side Cocktail",11g,108kcal
4462,"A Night In Old Mandalay",11g,180kcal
4537,"Zombie Cocktail",11g,250kcal
4556,"357 Magnum",11g,371kcal
4579,"8th Birthday",11g,183kcal
4580,"8-Ounce Twista",11g,196kcal
4613,"Abbey Cocktail",11g,151kcal
4633,"Aqua Velva Cocktail",11g,221kcal
672,"Bronx Cocktail",12g,150kcal
725,"Summer City Spritz",12g,179kcal
1965,"Darth Vader Cocktail",12g,234kcal
1972,"EL DIABLO",12g,187kcal
2299,"Fire Bomb Shot",12g,55kcal
3031,"LAMINGTON COCKTAIL",12g,277kcal
3036,"Leafeon Pokemon",12g,166kcal
3169,"Lemon Drop Cocktail",12g,175kcal
3192,"Mistletoe Martini Cocktail",12g,152kcal
3606,"Pornstar Martini (Variation)",12g,156kcal
3993,"Ruby Skye Cocktail",12g,188kcal
4003,"Rooted in Survival Cocktail",12g,227kcal
4031,"Sex on the Beach Cocktail",12g,117kcal
4244,"Sea Breeze Cocktail",12g,184kcal
4495,"A Roa",12g,124kcal
4618,"American Glory Cocktail",12g,127kcal
4638,"Bee’s Knees Cocktail",12g,179kcal
4651,"Bullfrog Cocktail",12g,366kcal
4664,"Adios Motherf*cker Cocktail",12g,210kcal
95,"Bellini 3",13g,128kcal
546,"Blue Long Island",13g,382kcal
724,"White Christmas sangria",13g,154kcal
1981,"Evening Accessory Cocktail",13g,320kcal
2517,"Green Devil",13g,204kcal
2947,"Jedi Mind Trip Cocktail",13g,129kcal
3424,"Maraschino Gin",13g,283kcal
3440,"Malibu Bay Breeze Cocktail",13g,165kcal
3448,"The Mockingjay Cocktail",13g,178kcal
3452,"Mustafar Cocktail",13g,146kcal
3524,"Nightlocks Nemesis Cocktail",13g,207kcal
3840,"Poison Ivy Cocktail",13g,228kcal
3841,"Pina Colada Cocktail",13g,255kcal
3995,"Red Death Cocktail",13g,227kcal
4229,"A Crow Left of the Murder",13g,65kcal
4317,"A Furlong Too Late",13g,178kcal
4409,"Tom Collins Cocktail",13g,182kcal
4467,"Vodka Slime Cocktail",13g,122kcal
4475,"White Russian",13g,232kcal
4560,"42 Flying Mules",13g,155kcal
4616,"All American Cocktail",13g,107kcal
4724,"Burt Reynolds Cocktail",13g,290kcal
4726,"Bay Breeze Cocktail",13g,193kcal
691,"Baileys White Russian Cocktail",14g,369kcal
694,"Black Magic Cocktail",14g,196kcal
695,"Black Russian Cocktail",14g,229kcal
756,"Adios Mother",14g,324kcal
773,"Cactus Cooler Cocktail",14g,148kcal
1707,"Coco Channel",14g,367kcal
1724,"Chocotini Cocktail",14g,166kcal
1731,"Cherry Ripe Cocktail",14g,372kcal
2954,"Kahlua Mudslide Cocktail",14g,259kcal
3423,"Melon Cocktail",14g,203kcal
3846,"Peach Fizz Cocktail",14g,182kcal
4001,"Red Berry Sling Cocktail",14g,160kcal
4047,"Shamrock Juice",14g,524kcal
4406,"A Night At Naughty Nikkis",14g,127kcal
4420,"U-Boat Beer Cocktail",14g,334kcal
4545,"151 Reasons",14g,112kcal
4572,"73 Bus",14g,178kcal
4627,"Aggravation Cocktail",14g,224kcal
96,"Bellini Cocktail",15g,146kcal
716,"Bloody Smurf Jizz Cocktail",15g,129kcal
1973,"Enzoni Cocktail",15g,201kcal
2537,"Classic Hot Toddy",15g,961kcal
2956,"Raspberry kiss",15g,119kcal
3032,"Last Word",15g,187kcal
4245,"Strip-tease Cocktail",15g,295kcal
4247,"San Remo Cocktail",15g,190kcal
4260,"Spumoni Cocktail",15g,96kcal
4395,"A Monkey`s Rum Martini",15g,327kcal
4399,"Tequila Sunrise Cocktail",15g,148kcal
4571,"73 Bus 2",15g,304kcal
707,"Blue Pixie Stick Cocktail",16g,229kcal
1733,Daiquiri,16g,193kcal
2043,"Gin Fizz",16g,178kcal
2294,"Foxface's Poison Cocktail",16g,208kcal
2296,"The Force Cocktail",16g,169kcal
2304,"Groovy Gimlet",16g,193kcal
2308,"Gin Bramble",16g,186kcal
2694,"Hazelnut Mudslide Cocktail",16g,301kcal
2945,"Jedi Mind Trick Cocktail",16g,297kcal
2951,"Japanese Sex Cocktail",16g,248kcal
3455,"Easy Mojito Cocktail",16g,201kcal
3602,"Oreo Cookie Shot",16g,297kcal
3607,"Pineapple Upside Down Cake",16g,222kcal
3852,"PayDay Cocktail",16g,524kcal
4259,"Strawberry Swirl Cocktail",16g,249kcal
4430,"Vodka infused Watermelon",16g,75kcal
4443,"Vodka Salty Dog",16g,163kcal
4472,"White Lady",16g,194kcal
4528,"A Sunny Delight",16g,339kcal
4535,"Yoda Swamp Mojito",16g,272kcal
4546,"17 Twist",16g,196kcal
4585,"A-Towns Finest",16g,162kcal
4625,"After Dinner Mint Cocktail",16g,166kcal
673,"Bacardi Yeah Martini Cocktail",17g,179kcal
1732,"Demogorgon cocktail",17g,254kcal
1955,"Dulce Maria Cocktail",17g,314kcal
1971,"Eastside Cocktail",17g,211kcal
2286,"Fucking Awesome Cocktail",17g,359kcal
2826,"Jedi Lightsaber cocktail",17g,380kcal
3430,"Mojo Jojo Cocktail",17g,176kcal
3844,"Poinsettia Champagne Cocktail",17g,176kcal
3866,"THE RASPBERRY XXX",17g,271kcal
4004,"Rum Runner Cocktail",17g,331kcal
4243,"Snowball Cocktail 2",17g,145kcal
4284,"A Goodnight Kiss",17g,181kcal
4403,"The Strawberry Capitol Cocktail",17g,223kcal
4526,"Watermelon Jolly Rancher Cocktail",17g,256kcal
4582,"A. F. Tini",17g,194kcal
4634,"Amaretto Sour Classic",17g,225kcal
1252,"Candy Cane 3",18g,171kcal
2526,"Ginger Cosmo Cocktail",18g,339kcal
2707,"Hive Five Mojito",18g,195kcal
2814,"Iron Butterfly Cocktail",18g,258kcal
2939,Jasmine,18g,344kcal
3029,"LIQUID LAMINGTON COCKTAIL",18g,323kcal
4239,"Saskatchewan Paralyzer",18g,159kcal
4240,"A Day at the Beach",18g,198kcal
4440,"A Joy of Almond",18g,203kcal
4525,"Watermelon Jolly Rancher 2",18g,240kcal
4591,"Abbi`s Tropical Delight",18g,502kcal
4639,"Blue Hawaii Cocktail",18g,204kcal
4652,"Blue Hawaiian Cocktail",18g,291kcal
708,"Bananarama Cocktail",19g,225kcal
1726,"The C3PO Cocktail",19g,80kcal
1975,"Espeon Pokemon Cocktail",19g,214kcal
3500,"Adios Motherf*cker 3",19g,407kcal
4484,"A Popular Guy",19g,133kcal
4539,"A Tropical Dream",19g,321kcal
1718,"Caipirinha Cocktail",20g,84kcal
1737,"DigRat Pokemon Cocktail",20g,226kcal
2532,"Growing Strong Cocktail",20g,245kcal
3181,"Mandarin Bramble",20g,243kcal
3613,"Peppermint Patty",20g,402kcal
3790,"Pineapple Fizz",20g,222kcal
3837,"Pomegranate Fizz Cocktail",20g,144kcal
3966,"Radioactive Long Island Iced Tea",20g,494kcal
4414,"The Sith Cocktail",20g,234kcal
4416,"Upside Down Martini",20g,244kcal
4530,"We do not Sow Cocktail",20g,281kcal
1954,"Desert Shield Cocktail",21g,213kcal
1977,Eleven,21g,181kcal
